Diameter,run,Time,Stimulus
61.425,3,9.9,red
61.425,3,9.92,red
61.4325,3,9.94,red
61.44,3,9.96,red
61.4525,3,9.98,red
61.464999999999996,3,10,red
61.545,3,10.02,red
61.625,3,10.040000000000001,red
61.545,3,10.06,red
61.464999999999996,3,10.08,red
61.56999999999999,3,10.1,red
61.464999999999996,3,10.120000000000001,red
61.44,3,10.14,red
61.21000000000001,3,10.16,red
61.16,3,10.18,red
61.085,3,10.200000000000001,red
60.985,3,10.22,red
60.985,3,10.24,red
60.985,3,10.26,red
61.005,3,10.280000000000001,red
60.985,3,10.3,red
60.985,3,10.32,red
60.53,3,10.34,red
60.53,3,10.36,red
60.53,3,10.38,red
60.480000000000004,3,10.4,red
60.480000000000004,3,10.42,red
60.480000000000004,3,10.44,red
60.480000000000004,3,10.46,red
60.480000000000004,3,10.48,red
60.480000000000004,3,10.5,red
60.575,3,10.52,red
60.67,3,10.540000000000001,red
60.6775,3,10.56,red
60.685,3,10.58,red
60.7725,3,10.6,red
60.86,3,10.620000000000001,red
60.8825,3,10.64,red
60.905,3,10.66,red
60.8825,3,10.68,red
60.905,3,10.700000000000001,red
60.905,3,10.72,red
60.95,3,10.74,red
60.95,3,10.76,red
60.95,3,10.780000000000001,red
60.95,3,10.8,red
61.005,3,10.82,red
61.14,3,10.84,red
61.14,3,10.86,red
61.21,3,10.88,red
61.14,3,10.9,red
61.14,3,10.92,red
61.21,3,10.94,red
61.14,3,10.96,red
61.21,3,10.98,red
61.21,3,11,red
61.14,3,11.02,red
61.114999999999995,3,11.040000000000001,red
60.95,3,11.06,red
60.95,3,11.08,red
60.945,3,11.1,red
60.945,3,11.120000000000001,red
60.945,3,11.14,red
60.945,3,11.16,red
60.93000000000001,3,11.18,red
60.93000000000001,3,11.200000000000001,red
60.93000000000001,3,11.22,red
60.93000000000001,3,11.24,red
60.945,3,11.26,red
60.945,3,11.280000000000001,red
60.945,3,11.3,red
60.93000000000001,3,11.32,red
60.93000000000001,3,11.34,red
60.945,3,11.36,red
60.945,3,11.38,red
60.945,3,11.4,red
60.93000000000001,3,11.42,red
60.93000000000001,3,11.44,red
60.93000000000001,3,11.46,red
60.93000000000001,3,11.48,red
60.93000000000001,3,11.5,red
60.93000000000001,3,11.52,red
61.125,3,11.540000000000001,red
61.125,3,11.56,red
61.205,3,11.58,red
61.224999999999994,3,11.6,red
61.355,3,11.620000000000001,red
61.385000000000005,3,11.64,red
61.385000000000005,3,11.66,red
61.41,3,11.68,red
61.71,3,11.700000000000001,red
61.71,3,11.72,red
61.769999999999996,3,11.74,red
61.864999999999995,3,11.76,red
61.864999999999995,3,11.780000000000001,red
61.864999999999995,3,11.8,red
61.864999999999995,3,11.82,red
61.864999999999995,3,11.84,red
61.815,3,11.86,red
61.815,3,11.88,red
61.864999999999995,3,11.9,red
61.92,3,11.92,red
62.16,3,11.94,red
61.92,3,11.96,red
61.92,3,11.98,red
62.144999999999996,3,12,red
62.025,3,12.02,red
62.144999999999996,3,12.040000000000001,red
62.16,3,12.06,red
62.165,3,12.08,red
62.165,3,12.1,red
62.175000000000004,3,12.120000000000001,red
62.175000000000004,3,12.14,red
